Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,Text,030202,1,Sita had 29 soaps before lending 18 soaps to Mary. Select the correct statement from below.<br>Let $x$ be the number of soaps after soaps gave them to Sita,$ x + 18 - 18 = 29 - 18 $,,,,$ x + 18 + 18 = 29 + 18 $,$ (x + 18) \times 18 = 29 \times 18 $,$(x + 18) \div 18 = 29 \div 18 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 18 items were lent is 29.<br>Therefore we can write that as $x + 18=29$ <br>By subtracting 18 on both sides<br>We get the equation as $x + 18 - 18 = 29 - 18$.,
text,Text,030202,1,Mary had 33 laptops before lending 4 laptops to Shanti. Select the correct statement from below.<br>Let $x$ be the number of laptops after laptops gave them to Mary,$ x + 4 - 4 = 33 - 4 $,,,,$ x + 4 + 4 = 33 + 4 $,$ (x + 4) \times 4 = 33 \times 4 $,$(x + 4) \div 4 = 33 \div 4 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 4 items were lent is 33.<br>Therefore we can write that as $x + 4=33$ <br>By subtracting 4 on both sides<br>We get the equation as $x + 4 - 4 = 33 - 4$.,
text,Text,030202,1,"Ram had 38 months to complete project, but Ram spent 21 cooking. How many months are left for Ram to complete homework? Select the correct statement from below.<br>Let $x$ be the amount of time Ram has now.",$ x + 21 - 21 = 38 - 21 $,,,,$ x + 21 + 21 = 38 + 21 $,$ (x + 21) \times 21 = 38 \times 21 $,$(x + 21) \div 21 = 38 \div 21 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current time left be $x$.<br>The initial time was 38 months and 21 months were spent.<br>Therefore we can write the equation as $x + 38 = 21$<br>By subtracting 38 from both sides<br>We get the equation as $x + 21 - 21 = 21 - 38$.,
text,Text,030202,1,Aditya had 28 bags before Aditya lost 6. Select the correct statement from below.<br>Let $x$ be the number of bags after Aditya lost them,$ x + 6 - 6 = 28 - 6 $,,,,$ x + 6 + 6 = 28 + 6 $,$ (x + 6) \times 6 = 28 \times 6 $,$(x + 6) \div 6 = 28 \div 6 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 6 items were lost is 28.<br>Therefore we can write that as $x + 6=28$ <br>By subtracting 6 on both sides<br>We get the equation as $x + 6 - 6 = 28 - 6$.,
text,Text,030202,1,Thomas had 44 mangos before giving 12 mangos to Nidhi. Select the correct statement from below.<br>Let $x$ be the number of mangos after Thomas gave them to Nidhi,$ x + 12 - 12 = 44 - 12 $,,,,$ x + 12 + 12 = 44 + 12 $,$ (x + 12) \times 12 = 44 \times 12 $,$(x + 12) \div 12 = 44 \div 12 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 12 items were given is 44.<br>Therefore we can write that as $x + 12=44$ <br>By subtracting 12 on both sides<br>We get the equation as $x + 12 - 12 = 44 - 12$.,
text,Text,030202,1,Aditya had 31 mangos before giving 21 mangos to Nidhi. Select the correct statement from below.<br>Let $x$ be the number of mangos after Aditya gave them to Nidhi,$ x + 21 - 21 = 31 - 21 $,,,,$ x + 21 + 21 = 31 + 21 $,$ (x + 21) \times 21 = 31 \times 21 $,$(x + 21) \div 21 = 31 \div 21 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 21 items were given is 31.<br>Therefore we can write that as $x + 21=31$ <br>By subtracting 21 on both sides<br>We get the equation as $x + 21 - 21 = 31 - 21$.,
text,Text,030202,1,Sushma had 28 pens before lending 7 pens to Ram. Select the correct statement from below.<br>Let $x$ be the number of pens after pens gave them to Sushma,$ x + 7 - 7 = 28 - 7 $,,,,$ x + 7 + 7 = 28 + 7 $,$ (x + 7) \times 7 = 28 \times 7 $,$(x + 7) \div 7 = 28 \div 7 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 7 items were lent is 28.<br>Therefore we can write that as $x + 7=28$ <br>By subtracting 7 on both sides<br>We get the equation as $x + 7 - 7 = 28 - 7$.,
text,Text,030202,1,Shanti had 46 pens before lending 18 pens to Karan. Select the correct statement from below.<br>Let $x$ be the number of pens after pens gave them to Shanti,$ x + 18 - 18 = 46 - 18 $,,,,$ x + 18 + 18 = 46 + 18 $,$ (x + 18) \times 18 = 46 \times 18 $,$(x + 18) \div 18 = 46 \div 18 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 18 items were lent is 46.<br>Therefore we can write that as $x + 18=46$ <br>By subtracting 18 on both sides<br>We get the equation as $x + 18 - 18 = 46 - 18$.,
text,Text,030202,1,Ram had 37 pages before Ram lost 24. Select the correct statement from below.<br>Let $x$ be the number of pages after Ram lost them,$ x + 24 - 24 = 37 - 24 $,,,,$ x + 24 + 24 = 37 + 24 $,$ (x + 24) \times 24 = 37 \times 24 $,$(x + 24) \div 24 = 37 \div 24 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 24 items were lost is 37.<br>Therefore we can write that as $x + 24=37$ <br>By subtracting 24 on both sides<br>We get the equation as $x + 24 - 24 = 37 - 24$.,
text,Text,030202,1,Mary had 41 tomatoes before giving 6 tomatoes to Shanti. Select the correct statement from below.<br>Let $x$ be the number of tomatoes after Mary gave them to Shanti,$ x + 6 - 6 = 41 - 6 $,,,,$ x + 6 + 6 = 41 + 6 $,$ (x + 6) \times 6 = 41 \times 6 $,$(x + 6) \div 6 = 41 \div 6 $,60,3,,2019sristi.sharma@ves.ac.in,Let the current number of items be $x$.<br>The initial amount of items before 6 items were given is 41.<br>Therefore we can write that as $x + 6=41$ <br>By subtracting 6 on both sides<br>We get the equation as $x + 6 - 6 = 41 - 6$.,
